___|____100_us____|____500_us____|____1_ms____|____10_ms____|____50_ms____|____500_ms____|____1_s____|
1. |   2210       |   3241       |   3054     |   18478     |   53503     |   502380     |   1043427 |
2. |   1213       |   2501       |   2658     |   12610     |   51836     |   502263     |   1002810 |
3. |   2263       |   2239       |   2444     |   13270     |   58220     |   504077     |   1065300 |
4. |   1427       |   2582       |   2499     |   12825     |   57785     |   602272     |   1002453 |
5. |   1461       |   2014       |   2277     |   11251     |   71336     |   503848     |   1003873 |
6. |   466        |   2745       |   2379     |   10612     |   51863     |   502529     |   1003574 |
7. |   2246       |   1007       |   2050     |   10772     |   51580     |   501959     |   1001851 |
8. |   1116       |   2257       |   2704     |   12205     |   62572     |   502860     |   1002997 |
9. |   1869       |   2268       |   2632     |   11701     |   349790    |   503521     |   1031368 |
10.|   1940       |   1818       |   1940     |   11499     |   52057     |   504794     |   1002939 |
